e1x,e2x,e1y,e2y,dist_eyes,nx,ny,nx+nw,ny+nh,nose_size,mx,my,mx+mw,my+mh,mouth_size
32,66,35,37,34.05877273,29,51,68,84,1287,32,81,61,98,493
35,69,33,37,34.23448554,31,49,68,80,1147,28,74,66,97,874
32,67,34,37,35.12833614,30,51,68,83,1216,30,79,62,98,608
66,33,37,35,33.06055051,29,51,67,83,1216,30,79,62,98,608
67,33,38,34,34.23448554,30,51,67,82,1147,30,79,62,98,608
66,33,38,35,33.13608305,30,51,66,81,1080,30,79,61,97,558
66,33,38,35,33.13608305,31,51,69,83,1216,35,82,62,98,432
32,67,38,43,35.35533906,27,52,63,82,1080,35,82,62,98,432
67,35,38,34,32.24903099,31,50,67,80,1080,32,79,63,97,558
66,34,36,34,32.06243908,31,50,67,80,1080,32,78,63,96,558
66,29,32,34,37.05401463,31,48,70,81,1287,36,78,67,97,589
66,33,35,37,33.06055051,31,48,70,81,1287,36,78,67,97,589
33,67,37,36,34.0147027,32,53,70,84,1178,35,80,65,98,540
34,65,36,37,31.01612484,32,53,70,84,1178,34,74,70,95,756
34,65,36,37,31.01612484,32,53,70,84,1178,36,81,64,98,476
68,31,36,34,37.05401463,32,53,70,84,1178,35,80,66,98,558
68,31,36,34,37.05401463,32,53,70,84,1178,37,82,65,99,476
33,68,36,37,35.0142828,32,52,69,83,1147,35,79,66,97,558
65,31,42,38,34.23448554,27,52,63,82,1080,35,79,66,97,558
65,31,42,38,34.23448554,31,52,69,84,1216,35,81,63,98,476
33,66,35,35,33,33,51,69,81,1080,33,76,67,96,680
67,34,37,34,33.13608305,32,50,69,80,1110,33,79,64,97,558
66,34,38,36,32.06243908,32,50,69,80,1110,33,78,64,97,589
66,34,38,36,32.06243908,31,50,69,82,1216,35,82,63,99,476
68,31,37,37,37,31,53,71,87,1360,36,69,65,86,493
70,34,39,37,36.05551275,33,53,73,86,1320,36,67,67,85,558
71,34,39,38,37.01351105,32,54,75,90,1548,36,67,67,85,558
65,30,36,39,35.12833614,33,52,70,83,1147,40,80,71,98,558
65,30,36,39,35.12833614,34,51,72,82,1178,40,80,70,98,540
33,66,38,41,33.13608305,29,52,63,81,986,40,80,70,98,540
67,33,37,34,34.13209633,34,51,71,82,1147,38,79,69,97,558
32,67,38,36,35.05709629,32,51,71,84,1287,39,81,67,98,476
31,66,37,35,35.05709629,30,49,71,83,1394,32,72,70,95,874
60,30,32,34,30.06659276,29,49,62,76,891,35,74,65,92,540
66,32,36,38,34.05877273,32,49,70,80,1178,35,74,65,92,540
32,65,36,37,33.01514804,32,49,70,80,1178,34,78,64,96,540
31,66,35,36,35.0142828,32,48,67,77,1015,34,76,66,95,608
31,66,35,36,35.0142828,32,50,69,80,1110,34,76,66,95,608
68,33,36,36,35,32,50,69,80,1110,36,79,67,97,558
69,34,38,38,35,33,53,71,85,1216,35,79,65,97,540
67,31,43,37,36.49657518,27,52,62,81,1015,35,79,65,97,540
72,35,35,38,37.12142239,33,53,73,87,1360,37,82,65,99,476
72,35,35,38,37.12142239,31,52,71,86,1360,36,82,63,98,432
72,35,35,38,37.12142239,31,52,71,86,1360,38,83,65,99,432
69,34,37,37,35,33,51,72,83,1248,38,83,65,99,432
70,32,36,36,38,33,53,73,86,1320,38,83,65,99,432
30,64,38,36,34.05877273,32,51,68,81,1080,40,82,67,98,432
30,64,38,36,34.05877273,32,51,70,82,1178,38,80,67,97,493
68,31,36,33,37.12142239,32,51,70,82,1178,38,80,67,97,493
68,29,36,36,39,32,52,72,85,1320,38,80,67,97,493
68,29,36,36,39,31,51,72,85,1394,41,83,67,99,416
68,29,36,36,39,31,53,54,72,437,23,75,58,96,735
69,26,33,35,43.0464865,30,52,72,87,1470,23,75,58,96,735
69,26,33,35,43.0464865,30,52,72,87,1470,37,82,64,98,432
69,26,33,35,43.0464865,30,53,53,72,437,22,78,56,98,680
69,26,33,35,43.0464865,29,52,53,72,480,21,78,55,98,680
35,64,38,41,29.15475947,30,53,50,70,340,22,74,60,97,874
34,68,40,41,34.0147027,30,53,53,72,437,22,78,55,98,660
35,68,40,42,33.06055051,31,53,55,72,456,23,77,58,98,735
35,67,40,41,32.01562119,31,53,53,71,396,24,77,58,97,680
34,65,38,41,31.144823,30,52,53,71,437,22,76,56,97,714
34,66,39,43,32.24903099,30,53,54,73,480,23,77,56,97,660
33,63,35,40,30.41381265,24,45,64,78,1320,22,72,60,95,874
35,70,40,42,35.05709629,29,52,57,75,644,24,79,56,98,608
32,67,39,42,35.12833614,28,53,52,72,456,21,81,50,98,493
33,67,39,41,34.05877273,28,53,52,72,456,22,79,54,98,608
33,67,39,42,34.13209633,28,53,52,72,456,23,79,55,98,608
33,67,39,42,34.13209633,29,52,52,71,437,22,75,58,97,792
36,64,38,41,28.16025568,31,51,53,69,396,23,72,62,95,897
34,65,39,41,31.06444913,30,52,52,70,396,23,76,58,97,735
33,65,40,41,32.01562119,29,54,52,73,437,23,78,55,97,608
33,67,39,42,34.13209633,28,52,57,76,696,26,80,57,98,558
32,68,41,41,36,28,53,61,80,891,18,63,73,96,1815
68,35,40,35,33.37663854,28,46,63,75,1015,24,72,64,96,960
67,32,40,40,35,28,53,59,79,806,30,81,59,99,522
32,69,39,39,37,29,53,62,80,891,30,82,59,99,493
33,67,41,41,34,29,54,60,80,806,31,82,59,99,476
67,34,41,43,33.06055051,31,55,59,78,644,31,81,60,98,493
32,67,41,40,35.0142828,29,54,60,79,775,31,82,58,98,432
31,67,42,40,36.05551275,30,54,61,80,806,31,82,58,98,432
68,32,41,42,36.01388621,31,54,61,79,750,31,82,58,98,432
69,32,41,42,37.01351105,30,54,61,80,806,31,82,58,98,432
68,33,41,42,35.0142828,30,54,61,80,806,31,83,58,99,432
68,30,41,41,38,30,54,61,80,806,31,83,58,99,432
31,69,39,37,38.05259518,30,50,66,80,1080,31,83,58,99,432
31,69,39,37,38.05259518,28,51,61,78,891,24,73,63,96,897
31,69,39,37,38.05259518,30,55,59,79,696,24,73,63,96,897
67,30,38,41,37.12142239,28,53,62,81,952,33,82,61,98,448
33,68,40,42,35.05709629,30,54,59,78,696,33,82,61,98,448
68,34,42,43,34.0147027,31,55,60,79,696,19,60,73,92,1728
67,33,41,42,34.0147027,30,54,59,78,696,29,82,57,99,476
32,67,40,41,35.0142828,30,53,58,77,672,29,82,57,99,476
32,67,42,41,35.0142828,28,53,59,79,806,28,82,56,99,476
32,68,41,42,36.01388621,28,53,58,77,720,28,82,56,99,476
68,34,41,41,34,30,55,64,83,952,33,83,60,99,432
33,67,40,40,34,31,54,62,80,806,32,80,62,98,540
